EmpID	Name Prefix	First Name	Middle Initial	Last Name	Gender	E Mail	Father's Name	Mother's Name	Mother's Maiden Name	Date of Birth																
526540	Ms.	Angelique	K	Goodwin	F	angelique.goodwin@gmail.com	Rick Goodwin	Dorian Goodwin	Maxey	5/15/1964																
859327	Ms.	Jeni	S	Shaffer	F	jeni.shaffer@gmail.com	Ryan Shaffer	Love Shaffer	Gunderson	1/13/1962																
887387	Ms.	Donald	T	Farris	F	donald.farris@bellsouth.net	Mauro Farris	Edyth Farris	Greer	4/11/1958																
779497	Hon.	Steven	D	Rendon	M	steven.rendon@gmail.com	Elden Rendon	Angela Rendon	Ortiz	4/4/1982																
896517	Drs.	Jenell	L	Almanza	F	jenell.almanza@yahoo.com	Clifford Almanza	Vergie Almanza	Darby	7/1/1958																
220965	Mrs.	Almeta	Y	Brookins	F	almeta.brookins@gmail.com	Richard Brookins	Angelika Brookins	Pape	5/8/1985																
721091	Prof.	Bobbie	E	Branson	M	bobbie.branson@hotmail.com	Joan Branson	Nu Branson	Frazer	2/10/1996																
633636	Prof.	Bertram	R	Carlisle	M	bertram.carlisle@aol.com	Ivory Carlisle	Bao Carlisle	Cintron	12/31/1982																
823898	Prof.	Carlton	E	Leclair	M	carlton.leclair@cox.net	Elroy Leclair	Georgann Leclair	Merchant	3/17/1986																
413865	Mr.	Todd	R	Slater	M	todd.slater@earthlink.net	Donnie Slater	Shay Slater	Conaway	6/9/1995																
439483	Mr.	Adalberto	K	Hazel	M	adalberto.hazel@yahoo.co.in	Frank Hazel	Elizabet Hazel	Bolt	12/8/1959																
809408	Mr.	Seymour	B	Nelson	M	seymour.nelson@hotmail.com	Isaiah Nelson	Novella Nelson	Chilton	1/21/1996																
748190	Mr.	Vicente	D	Dawkins	M	vicente.dawkins@gmail.com	Barrett Dawkins	Alva Dawkins	Mcvay	6/17/1994																
397283	Mr.	Rex	Q	Ng	M	rex.ng@yahoo.com	Rene Ng	Beata Ng	Gayle	8/22/1982																
553684	Drs.	Arlena	I	Clough	F	arlena.clough@yahoo.com	Willy Clough	Brinda Clough	Bates	10/15/1957																
495667	Mr.	Cory	H	Clarke	M	cory.clarke@shell.com	Lynwood Clarke	Fallon Clarke	Velez	6/2/1980																
936158	Mrs.	Sofia	Y	Poole	F	sofia.poole@earthlink.net	Leigh Poole	Na Poole	Luce	12/3/1964																
537591	Dr.	Samuel	G	Wendt	M	samuel.wendt@bellsouth.net	Danial Wendt	Tandra Wendt	Derosa	11/25/1976																
909018	Mr.	Virgil	R	Trowbridge	M	virgil.trowbridge@aol.com	Francisco Trowbridge	Chasidy Trowbridge	Soto	4/6/1986																
878666	Ms.	Elda	Y	Champagne	F	elda.champagne@gmail.com	Roderick Champagne	Bok Champagne	Garrison	5/21/1983																
995710	Mr.	Robert	G	Guinn	M	robert.guinn@walmart.com	Samual Guinn	Jona Guinn	Cobb	6/14/1972																
511059	Prof.	Humberto	W	Sauer	M	humberto.sauer@yahoo.com	Donte Sauer	Lucy Sauer	Truitt	4/11/1989																
754455	Mrs.	Anastasia	N	Childers	F	anastasia.childers@hotmail.com	Adalberto Childers	Beryl Childers	Mcneely	12/20/1988																
489275	Ms.	Collene	O	Kidd	F	collene.kidd@shell.com	Rene Kidd	Lili Kidd	Knight	2/25/1965																
500905	Hon.	Harris	Z	Beavers	M	harris.beavers@shell.com	Henry Beavers	Birgit Beavers	Mcinnis	9/14/1970																
984409	Ms.	Kathe	B	John	F	kathe.john@gmail.com	Francis John	Sharmaine John	Labbe	6/15/1992																
812053	Ms.	Ashly	E	Stanton	F	ashly.stanton@gmail.com	Barney Stanton	Vanna Stanton	Sumner	12/13/1992																
550206	Mr.	Geraldo	E	Easley	M	geraldo.easley@shaw.ca	Johnson Easley	Alessandra Easley	Larson	3/28/1974																
728053	Mr.	Leigh	R	Fite	M	leigh.fite@gmail.com	Lyle Fite	Arie Fite	Arteaga	7/16/1967																
184257	Ms.	Devon	I	Knox	F	devon.knox@gmail.com	Wilbert Knox	Hildegard Knox	Lacey	3/24/1979																
235295	Ms.	Yevette	D	Mullis	F	yevette.mullis@gmail.com	Graham Mullis	Regena Mullis	Ceja	4/8/1972																
767674	Mrs.	Irena	Z	Dang	F	irena.dang@gmail.com	Kim Dang	Joseph Dang	Shockley	1/22/1972																
391837	Mr.	Cory	L	Hayden	M	cory.hayden@gmail.com	Louis Hayden	Kathi Hayden	Billups	7/20/1966																
466560	Hon.	Dolores	A	Begley	F	dolores.begley@hotmail.com	Wilmer Begley	Jaqueline Begley	Goldman	12/16/1981																
900756	Mr.	Benjamin	O	Doss	M	benjamin.doss@gmail.com	Chong Doss	Luetta Doss	Nagle	6/1/1984																
678628	Hon.	Theron	I	Farmer	M	theron.farmer@gmail.com	Josh Farmer	Barb Farmer	Yates	5/16/1969																
492527	Mr.	Hilton	N	Mcgehee	M	hilton.mcgehee@microsoft.com	Elden Mcgehee	Lorena Mcgehee	Hurtado	7/26/1986																
886060	Ms.	Sixta	J	Beaudoin	F	sixta.beaudoin@gmail.com	Tyrell Beaudoin	Diedra Beaudoin	Guillory	3/4/1975																
366431	Ms.	Sade	U	Shay	F	sade.shay@gmail.com	Roosevelt Shay	Arlena Shay	Browne	12/6/1994																
331297	Mrs.	Shemika	E	Beckman	F	shemika.beckman@hotmail.com	Travis Beckman	Cameron Beckman	Trent	10/18/1967																
496541	Mr.	Winfred	X	Gonzales	M	winfred.gonzales@aol.com	Emil Gonzales	Carlena Gonzales	Maldonado	3/10/1964																
654617	Mr.	Rogelio	Z	Woodall	M	rogelio.woodall@gmail.com	Cleveland Woodall	Kali Woodall	Ontiveros	12/19/1972																
163409	Mr.	Damion	C	Rafferty	M	damion.rafferty@yahoo.com	Jarod Rafferty	Mi Rafferty	Wenger	10/27/1974																
299088	Mr.	Dannie	I	Catron	M	dannie.catron@earthlink.net	Dana Catron	Tonie Catron	Daily	4/20/1979																
961442	Hon.	Stephan	M	Titus	M	stephan.titus@hotmail.com	Garrett Titus	Pamelia Titus	Delgadillo	3/7/1968																
155097	Mr.	Dorian	J	Sage	M	dorian.sage@shaw.ca	Stevie Sage	Lawanna Sage	Peltier	7/27/1970																
976422	Mr.	Jake	W	Espinal	M	jake.espinal@shaw.ca	Edmundo Espinal	Charlott Espinal	Duran	1/19/1959																
